filename,years,max_year,num_unique_years
03101910-r06-e.txt,2005,2005,1
KF-2-169-L.txt,1973,1973,1
21008750-B03.txt,2021,2021,1
03056660-p17.txt,"2006, 2005, 2005, 2004, 2004, 2007",2007,4
0100156-padi.txt,2003,2003,1
PADI-ND-2-024-L.txt,1991,1991,1
01045550-a04.txt,2001,2001,1
12079540-i10.txt,2013,2013,1
05022930-r18.txt,2009,2009,1
04000962.txt,2004,2004,1
0000314.txt,2003,2003,1
11028120-w05.txt,2011,2011,1
00003200-G02.txt,"2000, 2000",2000,1
9700450.txt,1998,1998,1
96013710.txt,"1997, 1995, 1994",1997,3
17040150-B15.txt,2019,2019,1
PADI-NG-1-482-L.txt,1994,1994,1
17080540-Z09.txt,2018,2018,1
08013610-n05.txt,2008,2008,1
0405931.txt,"2004, 2004",2004,1
06088060-t04-e.txt,2006,2006,1
18063720-N01.txt,"2018, 2017, 2018, 2017",2018,2
11013930-c09.txt,2011,2011,1
NOPADI-NB-3-011-L.txt,"1989, 1989",1989,1
PADI-NG-2-844-L.txt,1994,1994,1
05112280-n02-e.txt,2006,2006,1
21003480-Z07.txt,2022,2022,1
PADI-LF-4-085-L.txt,1983,1983,1
08092130-b02.txt,2008,2008,1
12065820-s03.txt,"2012, 2012",2012,1
05024180-v10-e.txt,"2005, 2005",2005,1
19030520-E04.txt,2019,2019,1
22022100-M09.txt,2022,2022,1
PADI-LH-3-337-L.txt,1985,1985,1
17042260-A66.txt,2022,2022,1
06021470-p24.txt,2009,2009,1
10048880-n07.txt,2010,2010,1
21030690-E01.txt,2021,2021,1
19066680-A05.txt,2019,2019,1
21037260-O08.txt,2021,2021,1
NOPADI-ND-6-064-L.txt,"1991, 1991",1991,1
NOPADI-KH-8-023-L.txt,1985,1985,1
21088800-N01.txt,2021,2021,1
08066960-w03.txt,"2001, 2001",2001,1
0302783-padi.txt,2003,2003,1
07017940-m10.txt,2010,2010,1
08078080-h02.txt,"2008, 2008",2008,1
11064940-z11.txt,2012,2012,1
0409851.txt,"2004, 2004, 2004, 2004",2004,1
11055250-t05.txt,"2011, 2012, 2011",2012,2
07085550-c22.txt,2008,2008,1
06090150-t02-e.txt,2006,2006,1
19004080-E12.txt,"2018, 2021",2021,2
05112130-14s-e.txt,2006,2006,1
10093660-m07.txt,2012,2012,1
12023780-b03.txt,"2012, 2012",2012,1
0303302.txt,"2004, 2004",2004,1
99017640.txt,1999,1999,1
21039110-Y11.txt,2022,2022,1
09035510-n01.txt,2009,2009,1
21054630-R04.txt,"2021, 2021",2021,1
17036600-C20.txt,"2017, 2017, 2017",2017,1
PADI-N-1-159-L.txt,1986,1986,1
12056100-z03.txt,2013,2013,1
12070330-e01.txt,"2008, 2012",2012,2
7700329.txt,1977,1977,1
11033000-e12.txt,2012,2012,1
0207164.txt,2004,2004,1
K-2-156-L.txt,1966,1966,1
9909290.txt,"2000, 1999, 1999, 1999, 1995, 1999, 1999, 1999, 1999, 1995, 1994, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 2000",2000,4
21046740-O08.txt,2022,2022,1
0505272.txt,"2005, 2005, 2005, 2005, 2003, 2003, 2005, 2005",2005,2
08068030-o09.txt,2010,2010,1
0204445.txt,2002,2002,1
22055070-L04.txt,2022,2022,1
21068710-O12.txt,2022,2022,1
18013700-R04.txt,"2018, 2018, 2018",2018,1
13000210-o04.txt,2013,2013,1
12021880-b09.txt,2013,2013,1
22032330-J05.txt,"2022, 2022",2022,1
KF-1-449-L.txt,1973,1973,1
12068840-k13.txt,2013,2013,1
04086300-g03-e.txt,"2005, 1986, 1986, 2004, 2004, 1998, 2005",2005,4
07044080-m06.txt,2008,2008,1
15007280-m07.txt,2015,2015,1
NOPADI-ND-1-024-L.txt,"1990, 1990",1990,1
04098270-c02-e.txt,2006,2006,1
11005840-l11.txt,"2010, 2012, 2012",2012,2
PADI-LE-4-247-L.txt,"1982, 1982",1982,1
06083970-n21-e.txt,2007,2007,1
04085750-r04-e.txt,2005,2005,1
7700473.txt,"1975, 1978",1978,2
9903959.txt,"1999, 1997, 1997, 1998, 1998, 1999, 1999",1999,3
12057710-s15.txt,2013,2013,1
07008340-n07-e.txt,2007,2007,1
0210342.txt,2003,2003,1
LA-3-412-L.txt,1978,1978,1
21023300-O09.txt,2022,2022,1
03007240-n08-e.txt,2007,2007,1
10027430-z08.txt,2011,2011,1
15066790-E27.txt,2019,2019,1
01067580-f16-e.txt,2005,2005,1
PADI-LE-2-220-L.txt,1982,1982,1
05088150-r05-e.txt,2005,2005,1
la-1-214-l.txt,1977,1977,1
15022840-e03.txt,2015,2015,1
NOPADI-KH-9-041-L.txt,"1985, 1985",1985,1
05057080-r02-e.txt,2006,2006,1
NOPADI-ND-7-043-L.txt,1991,1991,1
08042910-h02.txt,2008,2008,1
14038610-K21.txt,2018,2018,1
0104370.txt,"2002, 1999, 2000, 2001, 2001, 2001, 2001, 2001, 1999, 2002, 2001, 2003, 2000, 2003",2003,5
19042960-G16.txt,2020,2020,1
15074270-e05.txt,"2011, 2016",2016,2
18057310-B01.txt,"2018, 2017, 2012, 2011, 2018",2018,4
22006250-N09.txt,2023,2023,1
18039560-J05.txt,2018,2018,1
20019770-G04.txt,2020,2020,1
06032610-n06.txt,2011,2011,1
95005620.txt,1997,1997,1
07052630-s17.txt,"2007, 2010",2010,2
14028940-k05.txt,2015,2015,1
03011406.txt,2004,2004,1
05058510-n31.txt,2008,2008,1
15071330-w14.txt,2016,2016,1
PADI-LF-3-381-L.txt,1983,1983,1
22055320-L12.txt,2023,2023,1
00004240-L04.txt,2000,2000,1
13082330-k03.txt,2014,2014,1
11090560-c14.txt,2013,2013,1
05115280-n02-e.txt,2005,2005,1
